,Right_Hip_Angle,Right_Hip_Angle,Right_Hip_Angle,Right_Knee_Angle,Right_Knee_Angle,Right_Knee_Angle,Right_Ankle_Angle,Right_Ankle_Angle,Right_Ankle_Angle,Right_Pelvic_Angle,Right_Pelvic_Angle,Right_Pelvic_Angle,Right_Foot_Pitch_Angle
,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED
ITEM,X,Y,Z,X.1,Y.1,Z.1,X.2,Y.2,Z.2,X.3,Y.3,Z.3,X.4
108.0,16.07842,3.55969,1.03049,10.63529,-0.65559,-13.80486,-2.82326,15.46148,2.94081,8.92441,8.69754,163.84816,-1.3097
109.0,16.00582,3.66598,0.96528,10.59551,-0.66631,-13.93216,-2.84844,15.75366,3.0895,8.67685,8.74862,163.7585,-1.70077
110.0,15.92972,3.77124,0.89899,10.41174,-0.69014,-13.86688,-2.8793,16.00775,3.28816,8.44636,8.78406,163.68594,-2.15656
111.0,15.85223,3.86675,0.84726,10.09266,-0.7246,-13.65499,-2.91284,16.21217,3.51784,8.2309,8.80721,163.62241,-2.66843
112.0,15.77833,3.95004,0.83827,9.65571,-0.77808,-13.35385,-2.95059,16.37081,3.74668,8.02784,8.82238,163.561,-3.22417
113.0,15.71518,4.02263,0.9012,9.12587,-0.85906,-13.03171,-2.99576,16.49635,3.94472,7.83442,8.8338,163.49841,-3.81343
114.0,15.67052,4.08323,1.05112,8.53503,-0.96705,-12.75454,-3.05112,16.60615,4.09468,7.64769,8.84403,163.4359,-4.42937
115.0,15.65047,4.12591,1.28339,7.92292,-1.08937,-12.56829,-3.11292,16.71456,4.18859,7.46412,8.85359,163.3774,-5.06522
116.0,15.65899,4.14393,1.57593,7.33715,-1.20557,-12.49097,-3.16627,16.82694,4.22242,7.27948,8.86208,163.32687,-5.71146
117.0,15.69832,4.13339,1.89367,6.82356,-1.29637,-12.51616,-3.19272,16.9417,4.19833,7.08987,8.86937,163.28653,-6.35644
118.0,15.76886,4.09429,2.19433,6.41189,-1.35128,-12.62074,-3.18471,17.05485,4.12765,6.89171,8.87538,163.25624,-6.98821
119.0,15.86936,4.03054,2.43585,6.11065,-1.36926,-12.77731,-3.15154,17.16011,4.03408,6.6823,8.87983,163.2338,-7.59532
120.0,15.99676,3.94956,2.58247,5.91302,-1.35477,-12.95662,-3.11078,17.24681,3.94391,6.45994,8.88194,163.21637,-8.16721
121.0,16.14656,3.86163,2.60821,5.80725,-1.31695,-13.12975,-3.0769,17.30383,3.87748,6.22431,8.88087,163.20198,-8.69536
122.0,16.31316,3.77691,2.49887,5.78605,-1.27086,-13.26642,-3.05208,17.32875,3.84031,5.97619,8.87574,163.19014,-9.17436
123.0,16.49004,3.70128,2.25342,5.84789,-1.23308,-13.33871,-3.02642,17.33017,3.82418,5.71701,8.86547,163.18227,-9.60266
124.0,16.67063,3.63448,1.88454,5.98881,-1.21182,-13.33047,-2.98733,17.31765,3.81763,5.44909,8.84892,163.18077,-9.9825
125.0,16.84967,3.57194,1.41819,6.19478,-1.2018,-13.24321,-2.92819,17.29136,3.81334,5.17652,8.82574,163.18802,-10.31894
126.0,17.02502,3.50813,0.89057,6.44419,-1.18901,-13.09261,-2.84814,17.24372,3.80762,4.90589,8.79648,163.20561,-10.61896
127.0,17.19715,3.43958,0.34082,6.71364,-1.16261,-12.89947,-2.74872,17.16958,3.79779,4.64568,8.76181,163.23537,-10.89128
128.0,17.36728,3.36687,-0.19715,6.97916,-1.12577,-12.6859,-2.63813,17.07504,3.78668,4.40405,8.72147,163.28001,-11.14513
129.0,17.53452,3.29211,-0.69672,7.21314,-1.09415,-12.4767,-2.53785,16.9773,3.78762,4.1859,8.67393,163.34279,-11.38803
130.0,17.69419,3.21359,-1.13639,7.38521,-1.08298,-12.29623,-2.47606,16.89664,3.81791,3.99244,8.61645,163.42613,-11.62623
131.0,17.83818,3.12437,-1.50008,7.46894,-1.09354,-12.14946,-2.46785,16.84521,3.87371,3.82249,8.54575,163.53105,-11.8668
132.0,17.9577,3.01524,-1.77943,7.4491,-1.10613,-12.01872,-2.50589,16.81956,3.92606,3.67498,8.46005,163.65704,-12.1176
133.0,18.04632,2.87883,-1.97474,7.3254,-1.08383,-11.86689,-2.56257,16.80093,3.92739,3.54992,8.36101,163.80202,-12.38472
134.0,18.10207,2.71348,-2.09392,7.1106,-0.98931,-11.65965,-2.6052,16.76467,3.83666,3.44791,8.25398,163.96323,-12.67034
135.0,18.12836,2.52392,-2.14967,6.82655,-0.80694,-11.38233,-2.61196,16.69582,3.63668,3.36831,8.14464,164.13792,-12.97173
136.0,18.13409,2.31879,-2.15521,6.50448,-0.55717,-11.06247,-2.58167,16.60322,3.35595,3.30832,8.03568,164.32283,-13.28196
137.0,18.13146,2.10649,-2.12252,6.18469,-0.29582,-10.76737,-2.52862,16.52511,3.06599,3.26465,7.92549,164.51381,-13.59134
138.0,18.13075,1.89305,-2.0638,5.90813,-0.09244,-10.57429,-2.47248,16.51362,2.85248,3.23498,7.80942,164.70692,-13.88718
139.0,18.13774,1.68394,-1.99028,5.70587,0.00088,-10.53408,-2.43171,16.60347,2.77659,3.21777,7.6812,164.89925,-14.15175
140.0,18.15573,1.48753,-1.90989,5.59388,-0.03253,-10.65423,-2.42425,16.79029,2.85621,3.21218,7.53411,165.0892,-14.36037
141.0,18.18815,1.31358,-1.83088,5.57194,-0.17154,-10.89594,-2.47049,17.02858,3.07091,3.2193,7.36168,165.27654,-14.48092
142.0,18.23796,1.16598,-1.76884,5.62666,-0.36962,-11.18607,-2.59573,17.25082,3.38785,3.24218,7.15841,165.46179,-14.47591
143.0,18.30714,1.04007,-1.74653,5.74013,-0.58241,-11.44954,-2.83069,17.40065,3.79866,3.28527,6.92105,165.6454,-14.3086
144.0,18.39646,0.93002,-1.78734,5.896,-0.79,-11.63293,-3.20759,17.45152,4.33221,3.35294,6.64932,165.82755,-13.95041
145.0,18.50452,0.83731,-1.90946,6.07935,-0.99973,-11.70473,-3.75359,17.40247,5.0356,3.44757,6.34717,166.00812,-13.38489
146.0,18.62642,0.77035,-2.12311,6.27429,-1.23771,-11.63289,-4.48127,17.26979,5.93074,3.56813,6.02346,166.18687,-12.60774
147.0,18.75472,0.73581,-2.43154,6.46337,-1.53328,-11.37442,-5.38382,17.08071,6.98534,3.70986,5.69163,166.36346,-11.62762
148.0,19.792104226078745,-0.0963706997665354,-1.8449695248489097,6.963150185637357,-1.5680791007926893,-11.085678028692719,-5.3659871414857205,17.629687404468967,6.692416367432786,4.480587684917648,5.450510324584224,99.83374953442721,-2.11414204410406
149.0,20.505370249489538,-0.6754451269347818,-1.250729623943619,7.222541944253372,-1.4771267441279403,-11.030721549712974,-4.950208351622338,18.050875831051027,5.988462265971352,4.985728916310827,5.4252759316565555,50.21972288533635,4.091620495948917
150.0,21.148296181933556,-1.1393457027353522,-0.7828771486922186,7.43904446857959,-1.4926869249754606,-10.964476713822155,-4.801863707839304,18.256455505088724,5.591436109673277,5.4478374318026725,5.346160359152592,7.166060157496986,9.022438024001268
151.0,21.57084,-1.3202,-0.68668,7.57574,-1.74882,-10.83377,-5.32496,18.01137,6.01028,5.77475,5.12509,-16.23238,10.99759
152.0,21.71874,-1.16549,-1.05193,7.62764,-2.29107,-10.55112,-6.63232,17.24381,7.36328,5.93571,4.74513,-15.97951,9.55599
153.0,21.83084,-0.98499,-1.48025,7.68496,-2.87832,-9.92696,-7.92151,16.39557,8.52379,6.08533,4.40632,-15.70535,7.95177
154.0,21.90945,-0.83236,-1.90898,7.75586,-3.42905,-8.89079,-9.02964,15.55774,9.17281,6.21557,4.12677,-15.41278,6.32471
155.0,21.97281,-0.751,-2.24297,7.88264,-3.85328,-7.48388,-9.80367,14.84602,9.07821,6.32264,3.91988,-15.1062,4.83927
156.0,22.0487,-0.76069,-2.37965,8.13312,-4.08878,-5.87726,-10.14997,14.36963,8.2045,6.40816,3.79152,-14.79071,3.63105
157.0,22.16572,-0.8516,-2.2374,8.5691,-4.12431,-4.33432,-10.0595,14.1726,6.73663,6.47859,3.73904,-14.47085,2.75978
158.0,22.34263,-0.99464,-1.77584,9.21001,-3.98462,-3.13534,-9.60278,14.20098,5.00284,6.54411,3.75228,-14.14913,2.20355
159.0,22.57974,-1.15771,-1.00832,10.01701,-3.70464,-2.49728,-8.90754,14.34947,3.3476,6.61664,3.81558,-13.82475,1.8935
160.0,22.85866,-1.31635,-0.00483,10.90567,-3.31921,-2.5213,-8.12197,14.52891,2.03036,6.70794,3.91065,-13.4931,1.75253
161.0,23.14447,-1.45874,1.11556,11.77225,-2.86367,-3.17906,-7.3741,14.68327,1.19003,6.82754,4.0197,-13.14625,1.714
